County,Population
".Rio Blanco County, Colorado","6,526"
".Rio Grande County, Colorado","11,543"
".Routt County, Colorado","24,831"
".Saguache County, Colorado","6,373"
".San Juan County, Colorado",701
".San Miguel County, Colorado","8,070"
".Sedgwick County, Colorado","2,401"
".Summit County, Colorado","31,292"
".Teller County, Colorado","24,706"
".Washington County, Colorado","4,818"
".Weld County, Colorado","328,986"
".Yuma County, Colorado","9,980"
".Capitol Planning Region, Connecticut","977,685"
".Greater Bridgeport Planning Region, Connecticut","325,778"
".Lower Connecticut River Valley Planning Region, Connecticut","174,224"
".Naugatuck Valley Planning Region, Connecticut","450,166"
".Northeastern Connecticut Planning Region, Connecticut","95,344"
".Northwest Hills Planning Region, Connecticut","112,456"
".South Central Connecticut Planning Region, Connecticut","570,732"
".Southeastern Connecticut Planning Region, Connecticut","280,432"
".Western Connecticut Planning Region, Connecticut","620,884"
".Kent County, Delaware","181,844"
".New Castle County, Delaware","570,721"
".Sussex County, Delaware","237,390"
".District of Columbia, District of Columbia","689,545"
".Alachua County, Florida","278,474"
".Baker County, Florida","28,264"
".Bay County, Florida","175,210"
".Bradford County, Florida","28,305"
".Brevard County, Florida","606,607"
".Broward County, Florida","1,944,404"
".Calhoun County, Florida","13,642"
".Charlotte County, Florida","186,824"
".Citrus County, Florida","153,845"
".Clay County, Florida","218,245"
".Collier County, Florida","375,761"
".Columbia County, Florida","69,698"
".DeSoto County, Florida","33,975"
".Dixie County, Florida","16,756"
".Duval County, Florida","995,561"
".Escambia County, Florida","321,904"
".Flagler County, Florida","115,375"
".Franklin County, Florida","12,454"
".Gadsden County, Florida","43,819"
".Gilchrist County, Florida","17,860"
".Glades County, Florida","12,126"
".Gulf County, Florida","14,195"
".Hamilton County, Florida","14,004"
".Hardee County, Florida","25,332"
".Hendry County, Florida","39,619"
".Hernando County, Florida","194,510"
".Highlands County, Florida","101,232"
".Hillsborough County, Florida","1,459,774"
".Holmes County, Florida","19,655"
".Indian River County, Florida","159,789"
