County,Population
".St. Louis city, Missouri","301,371"
".Beaverhead County, Montana","9,369"
".Big Horn County, Montana","13,125"
".Blaine County, Montana","7,040"
".Broadwater County, Montana","6,778"
".Carbon County, Montana","10,479"
".Carter County, Montana","1,414"
".Cascade County, Montana","84,411"
".Chouteau County, Montana","5,915"
".Custer County, Montana","11,866"
".Daniels County, Montana","1,656"
".Dawson County, Montana","8,942"
".Deer Lodge County, Montana","9,425"
".Fallon County, Montana","3,049"
".Fergus County, Montana","11,442"
".Flathead County, Montana","104,355"
".Gallatin County, Montana","118,962"
".Garfield County, Montana","1,170"
".Glacier County, Montana","13,775"
".Golden Valley County, Montana",824
".Granite County, Montana","3,304"
".Hill County, Montana","16,293"
".Jefferson County, Montana","12,082"
".Judith Basin County, Montana","2,019"
".Lake County, Montana","31,131"
".Lewis and Clark County, Montana","70,971"
".Liberty County, Montana","1,960"
".Lincoln County, Montana","19,680"
".McCone County, Montana","1,727"
".Madison County, Montana","8,625"
".Meagher County, Montana","1,928"
".Mineral County, Montana","4,531"
".Missoula County, Montana","117,928"
".Musselshell County, Montana","4,736"
".Park County, Montana","17,195"
".Petroleum County, Montana",497
".Phillips County, Montana","4,218"
".Pondera County, Montana","5,902"
".Powder River County, Montana","1,694"
".Powell County, Montana","6,941"
".Prairie County, Montana","1,090"
".Ravalli County, Montana","44,173"
".Richland County, Montana","11,493"
".Roosevelt County, Montana","10,798"
".Rosebud County, Montana","8,331"
".Sanders County, Montana","12,400"
".Sheridan County, Montana","3,542"
".Silver Bow County, Montana","35,130"
".Stillwater County, Montana","8,963"
".Sweet Grass County, Montana","3,677"
".Teton County, Montana","6,227"
".Toole County, Montana","4,969"
".Treasure County, Montana",759
".Valley County, Montana","7,580"
".Wheatland County, Montana","2,066"
".Wibaux County, Montana",937
".Yellowstone County, Montana","164,722"
".Adams County, Nebraska","31,197"
".Antelope County, Nebraska","6,292"
".Arthur County, Nebraska",433
".Banner County, Nebraska",675
".Blaine County, Nebraska",429
".Boone County, Nebraska","5,374"
".Box Butte County, Nebraska","10,833"
".Boyd County, Nebraska","1,811"
".Brown County, Nebraska","2,902"
".Buffalo County, Nebraska","50,092"
".Burt County, Nebraska","6,729"
".Butler County, Nebraska","8,370"
".Cass County, Nebraska","26,600"
".Cedar County, Nebraska","8,378"
".Chase County, Nebraska","3,896"
".Cherry County, Nebraska","5,458"
".Cheyenne County, Nebraska","9,467"
".Clay County, Nebraska","6,109"
".Colfax County, Nebraska","10,579"
".Cuming County, Nebraska","9,012"
".Custer County, Nebraska","10,540"
".Dakota County, Nebraska","21,586"
".Dawes County, Nebraska","8,199"
".Dawson County, Nebraska","24,105"
".Deuel County, Nebraska","1,839"
".Dixon County, Nebraska","5,601"
".Dodge County, Nebraska","37,175"
".Douglas County, Nebraska","584,526"
".Dundy County, Nebraska","1,654"
".Fillmore County, Nebraska","5,554"
".Franklin County, Nebraska","2,890"
".Frontier County, Nebraska","2,517"
".Furnas County, Nebraska","4,638"
".Gage County, Nebraska","21,702"
".Garden County, Nebraska","1,874"
".Garfield County, Nebraska","1,813"
".Gosper County, Nebraska","1,894"
".Grant County, Nebraska",614
".Greeley County, Nebraska","2,189"
".Hall County, Nebraska","62,900"
".Hamilton County, Nebraska","9,426"
".Harlan County, Nebraska","3,073"
".Hayes County, Nebraska",852
".Hitchcock County, Nebraska","2,615"
".Holt County, Nebraska","10,128"
".Hooker County, Nebraska",711
".Howard County, Nebraska","6,473"
".Jefferson County, Nebraska","7,240"
".Johnson County, Nebraska","5,288"
".Kearney County, Nebraska","6,686"
".Keith County, Nebraska","8,331"
".Keya Paha County, Nebraska",769
".Kimball County, Nebraska","3,435"
".Knox County, Nebraska","8,401"
".Lancaster County, Nebraska","322,608"
".Lincoln County, Nebraska","34,676"
".Logan County, Nebraska",721
".Loup County, Nebraska",605
".McPherson County, Nebraska",399
".Madison County, Nebraska","35,588"
".Merrick County, Nebraska","7,663"
".Morrill County, Nebraska","4,559"
".Nance County, Nebraska","3,380"
".Nemaha County, Nebraska","7,075"
".Nuckolls County, Nebraska","4,095"
".Otoe County, Nebraska","15,912"
".Pawnee County, Nebraska","2,550"
".Perkins County, Nebraska","2,859"
".Phelps County, Nebraska","8,968"
".Pierce County, Nebraska","7,318"
".Platte County, Nebraska","34,298"
".Polk County, Nebraska","5,214"
".Red Willow County, Nebraska","10,702"
".Richardson County, Nebraska","7,870"
".Rock County, Nebraska","1,263"
".Saline County, Nebraska","14,762"
".Sarpy County, Nebraska","190,603"
".Saunders County, Nebraska","22,277"
".Scotts Bluff County, Nebraska","36,091"
".Seward County, Nebraska","17,602"
".Sheridan County, Nebraska","5,133"
".Sherman County, Nebraska","2,956"
".Sioux County, Nebraska","1,132"
".Stanton County, Nebraska","5,843"
".Thayer County, Nebraska","5,036"
".Thomas County, Nebraska",672
".Thurston County, Nebraska","6,774"
".Valley County, Nebraska","4,058"
".Washington County, Nebraska","20,860"
".Wayne County, Nebraska","9,703"
".Webster County, Nebraska","3,398"
".Wheeler County, Nebraska",772
".York County, Nebraska","14,127"
".Churchill County, Nevada","25,522"
".Clark County, Nevada","2,266,452"
".Douglas County, Nevada","49,483"
".Elko County, Nevada","53,703"
".Esmeralda County, Nevada",731
".Eureka County, Nevada","1,853"
".Humboldt County, Nevada","17,283"
".Lander County, Nevada","5,732"
".Lincoln County, Nevada","4,501"
".Lyon County, Nevada","59,235"
".Mineral County, Nevada","4,552"
".Nye County, Nevada","51,590"
".Pershing County, Nevada","6,648"
".Storey County, Nevada","4,099"
".Washoe County, Nevada","486,491"
".White Pine County, Nevada","9,078"
".Carson City, Nevada","58,642"
".Belknap County, New Hampshire","63,704"
".Carroll County, New Hampshire","50,099"
".Cheshire County, New Hampshire","76,449"
".Coos County, New Hampshire","31,259"
".Grafton County, New Hampshire","91,119"
".Hillsborough County, New Hampshire","422,944"
".Merrimack County, New Hampshire","153,805"
".Rockingham County, New Hampshire","314,213"
".Strafford County, New Hampshire","130,897"
".Sullivan County, New Hampshire","43,057"
".Atlantic County, New Jersey","274,533"
".Bergen County, New Jersey","955,721"
".Burlington County, New Jersey","461,856"
".Camden County, New Jersey","523,504"
".Cape May County, New Jersey","95,269"
".Cumberland County, New Jersey","154,152"
".Essex County, New Jersey","862,769"
".Gloucester County, New Jersey","302,270"
".Hudson County, New Jersey","724,855"
".Hunterdon County, New Jersey","128,954"
".Mercer County, New Jersey","387,333"
".Middlesex County, New Jersey","863,201"
".Monmouth County, New Jersey","643,522"
".Morris County, New Jersey","509,294"
".Ocean County, New Jersey","637,300"
".Passaic County, New Jersey","525,066"
".Salem County, New Jersey","64,830"
".Somerset County, New Jersey","345,362"
".Sussex County, New Jersey","144,228"
".Union County, New Jersey","575,360"
".Warren County, New Jersey","109,635"
".Bernalillo County, New Mexico","676,446"
".Catron County, New Mexico","3,580"
".Chaves County, New Mexico","65,156"
".Cibola County, New Mexico","27,052"
".Colfax County, New Mexico","12,383"
".Curry County, New Mexico","48,431"
".De Baca County, New Mexico","1,697"
".Doña Ana County, New Mexico","219,566"
".Eddy County, New Mexico","62,320"
".Grant County, New Mexico","28,198"
".Guadalupe County, New Mexico","4,454"
".Harding County, New Mexico",654
".Hidalgo County, New Mexico","4,177"
".Lea County, New Mexico","74,457"
".Lincoln County, New Mexico","20,262"
".Los Alamos County, New Mexico","19,422"
".Luna County, New Mexico","25,422"
".McKinley County, New Mexico","72,897"
".Mora County, New Mexico","4,185"
".Otero County, New Mexico","67,836"
".Quay County, New Mexico","8,740"
".Rio Arriba County, New Mexico","40,355"
".Roosevelt County, New Mexico","19,193"
".Sandoval County, New Mexico","148,839"
".San Juan County, New Mexico","121,671"
".San Miguel County, New Mexico","27,200"
".Santa Fe County, New Mexico","154,826"
".Sierra County, New Mexico","11,576"
".Socorro County, New Mexico","16,601"
".Taos County, New Mexico","34,491"
".Torrance County, New Mexico","15,047"
".Union County, New Mexico","4,084"
".Valencia County, New Mexico","76,337"
".Albany County, New York","314,838"
".Allegany County, New York","46,477"
".Bronx County, New York","1,472,645"
".Broome County, New York","198,685"
".Cattaraugus County, New York","77,042"
".Cayuga County, New York","76,249"
".Chautauqua County, New York","127,647"
".Chemung County, New York","84,152"
".Chenango County, New York","47,229"
".Clinton County, New York","79,843"
".Columbia County, New York","61,571"
".Cortland County, New York","46,808"
".Delaware County, New York","44,310"
".Dutchess County, New York","297,023"
".Erie County, New York","954,208"
".Essex County, New York","37,379"
".Franklin County, New York","47,559"
".Fulton County, New York","53,337"
".Genesee County, New York","58,393"
".Greene County, New York","47,932"
".Hamilton County, New York","5,095"
".Herkimer County, New York","60,140"
".Jefferson County, New York","116,716"
".Kings County, New York","2,736,296"
".Lewis County, New York","26,582"
".Livingston County, New York","61,836"
".Madison County, New York","68,031"
".Monroe County, New York","759,348"
".Montgomery County, New York","49,528"
".Nassau County, New York","1,395,805"
".New York County, New York","1,694,978"
".Niagara County, New York","212,662"
".Oneida County, New York","232,121"
".Onondaga County, New York","476,523"
".Ontario County, New York","112,465"
".Orange County, New York","401,318"
".Orleans County, New York","40,413"
".Oswego County, New York","117,542"
".Otsego County, New York","58,515"
".Putnam County, New York","97,674"
".Queens County, New York","2,405,424"
".Rensselaer County, New York","161,130"
".Richmond County, New York","496,251"
".Rockland County, New York","338,329"
".St. Lawrence County, New York","108,512"
".Saratoga County, New York","235,507"
".Schenectady County, New York","158,045"
".Schoharie County, New York","29,726"
".Schuyler County, New York","17,890"
".Seneca County, New York","33,806"
".Steuben County, New York","93,576"
".Suffolk County, New York","1,525,913"
".Sullivan County, New York","78,619"
".Tioga County, New York","48,458"
".Tompkins County, New York","105,734"
".Ulster County, New York","181,833"
".Warren County, New York","65,733"
".Washington County, New York","61,302"
".Wayne County, New York","91,293"
".Westchester County, New York","1,004,465"
".Wyoming County, New York","40,545"
".Yates County, New York","24,766"
".Alamance County, North Carolina","171,476"
".Alexander County, North Carolina","36,443"
".Alleghany County, North Carolina","10,877"
".Anson County, North Carolina","22,050"
".Ashe County, North Carolina","26,586"
".Avery County, North Carolina","17,814"
".Beaufort County, North Carolina","44,651"
".Bertie County, North Carolina","17,929"
".Bladen County, North Carolina","29,615"
".Brunswick County, North Carolina","136,689"
".Buncombe County, North Carolina","269,425"
".Burke County, North Carolina","87,556"
".Cabarrus County, North Carolina","225,797"
".Caldwell County, North Carolina","80,673"
".Camden County, North Carolina","10,356"
".Carteret County, North Carolina","67,687"
".Caswell County, North Carolina","22,739"
".Catawba County, North Carolina","160,609"
".Chatham County, North Carolina","76,255"
".Cherokee County, North Carolina","28,774"
".Chowan County, North Carolina","13,709"
".Clay County, North Carolina","11,087"
".Cleveland County, North Carolina","99,527"
".Columbus County, North Carolina","50,625"
".Craven County, North Carolina","100,731"
".Cumberland County, North Carolina","334,730"
".Currituck County, North Carolina","28,102"
".Dare County, North Carolina","36,912"
".Davidson County, North Carolina","168,925"
".Davie County, North Carolina","42,709"
".Duplin County, North Carolina","48,709"
".Durham County, North Carolina","324,863"
".Edgecombe County, North Carolina","48,891"
".Forsyth County, North Carolina","382,606"
".Franklin County, North Carolina","68,622"
".Gaston County, North Carolina","227,944"
".Gates County, North Carolina","10,476"
".Graham County, North Carolina","8,030"
".Granville County, North Carolina","61,006"
".Greene County, North Carolina","20,447"
".Guilford County, North Carolina","541,242"
".Halifax County, North Carolina","48,622"
".Harnett County, North Carolina","133,556"
".Haywood County, North Carolina","62,087"
".Henderson County, North Carolina","116,304"
".Hertford County, North Carolina","21,553"
".Hoke County, North Carolina","52,082"
".Hyde County, North Carolina","4,589"
".Iredell County, North Carolina","186,688"
".Jackson County, North Carolina","43,110"
".Johnston County, North Carolina","216,001"
".Jones County, North Carolina","9,170"
".Lee County, North Carolina","63,286"
".Lenoir County, North Carolina","55,126"
".Lincoln County, North Carolina","86,812"
".McDowell County, North Carolina","44,583"
".Macon County, North Carolina","37,016"
".Madison County, North Carolina","21,198"
".Martin County, North Carolina","22,038"
".Mecklenburg County, North Carolina","1,115,535"
".Mitchell County, North Carolina","14,896"
".Montgomery County, North Carolina","25,747"
".Moore County, North Carolina","99,741"
".Nash County, North Carolina","94,964"
".New Hanover County, North Carolina","225,704"
".Northampton County, North Carolina","17,474"
".Onslow County, North Carolina","204,588"
".Orange County, North Carolina","148,707"
".Pamlico County, North Carolina","12,273"
".Pasquotank County, North Carolina","40,569"
".Pender County, North Carolina","60,211"
".Perquimans County, North Carolina","13,010"
".Person County, North Carolina","39,085"
".Pitt County, North Carolina","171,812"
".Polk County, North Carolina","19,324"
".Randolph County, North Carolina","144,148"
".Richmond County, North Carolina","42,943"
".Robeson County, North Carolina","116,524"
".Rockingham County, North Carolina","91,118"
".Rowan County, North Carolina","146,875"
".Rutherford County, North Carolina","64,444"
".Sampson County, North Carolina","59,037"
".Scotland County, North Carolina","34,173"
".Stanly County, North Carolina","62,502"
".Stokes County, North Carolina","44,528"
".Surry County, North Carolina","71,364"
".Swain County, North Carolina","14,115"
".Transylvania County, North Carolina","32,984"
".Tyrrell County, North Carolina","3,242"
".Union County, North Carolina","238,237"
".Vance County, North Carolina","42,585"
".Wake County, North Carolina","1,129,352"
".Warren County, North Carolina","18,637"
".Washington County, North Carolina","11,005"
".Watauga County, North Carolina","54,079"
".Wayne County, North Carolina","117,327"
".Wilkes County, North Carolina","65,970"
".Wilson County, North Carolina","79,269"
".Yadkin County, North Carolina","37,213"
".Yancey County, North Carolina","18,473"
".Adams County, North Dakota","2,194"
".Barnes County, North Dakota","10,840"
".Benson County, North Dakota","5,960"
".Billings County, North Dakota",947
".Bottineau County, North Dakota","6,370"
".Bowman County, North Dakota","2,993"
".Burke County, North Dakota","2,195"
".Burleigh County, North Dakota","98,455"
".Cass County, North Dakota","184,531"
".Cavalier County, North Dakota","3,710"
".Dickey County, North Dakota","4,988"
".Divide County, North Dakota","2,195"
".Dunn County, North Dakota","4,095"
".Eddy County, North Dakota","2,339"
".Emmons County, North Dakota","3,303"
".Foster County, North Dakota","3,395"
".Golden Valley County, North Dakota","1,729"
".Grand Forks County, North Dakota","73,169"
".Grant County, North Dakota","2,304"
".Griggs County, North Dakota","2,310"
".Hettinger County, North Dakota","2,484"
".Kidder County, North Dakota","2,399"
".LaMoure County, North Dakota","4,086"
".Logan County, North Dakota","1,869"
".McHenry County, North Dakota","5,336"
".McIntosh County, North Dakota","2,534"
".McKenzie County, North Dakota","14,707"
".McLean County, North Dakota","9,776"
".Mercer County, North Dakota","8,353"
".Morton County, North Dakota","33,291"
".Mountrail County, North Dakota","9,806"
".Nelson County, North Dakota","3,019"
".Oliver County, North Dakota","1,875"
".Pembina County, North Dakota","6,835"
".Pierce County, North Dakota","3,990"
".Ramsey County, North Dakota","11,612"
".Ransom County, North Dakota","5,701"
".Renville County, North Dakota","2,290"
".Richland County, North Dakota","16,531"
".Rolette County, North Dakota","12,194"
".Sargent County, North Dakota","3,866"
".Sheridan County, North Dakota","1,268"
".Sioux County, North Dakota","3,897"
".Slope County, North Dakota",707
".Stark County, North Dakota","33,650"
".Steele County, North Dakota","1,791"
".Stutsman County, North Dakota","21,601"
".Towner County, North Dakota","2,155"
".Traill County, North Dakota","7,990"
".Walsh County, North Dakota","10,556"
".Ward County, North Dakota","69,922"
".Wells County, North Dakota","3,982"
".Williams County, North Dakota","40,951"
".Adams County, Ohio","27,480"
".Allen County, Ohio","102,217"
".Ashland County, Ohio","52,442"
".Ashtabula County, Ohio","97,580"
".Athens County, Ohio","62,424"
".Auglaize County, Ohio","46,425"
".Belmont County, Ohio","66,491"
".Brown County, Ohio","43,681"
".Butler County, Ohio","390,352"
".Carroll County, Ohio","26,715"
".Champaign County, Ohio","38,710"
".Clark County, Ohio","135,974"
".Clermont County, Ohio","208,595"
".Clinton County, Ohio","42,029"
".Columbiana County, Ohio","101,885"
".Coshocton County, Ohio","36,615"
".Crawford County, Ohio","42,017"
".Cuyahoga County, Ohio","1,264,775"
".Darke County, Ohio","51,875"
".Defiance County, Ohio","38,281"
".Delaware County, Ohio","214,123"
".Erie County, Ohio","75,615"
".Fairfield County, Ohio","158,920"
".Fayette County, Ohio","28,948"
".Franklin County, Ohio","1,323,819"
".Fulton County, Ohio","42,705"
".Gallia County, Ohio","29,222"
".Geauga County, Ohio","95,427"
".Greene County, Ohio","167,965"
".Guernsey County, Ohio","38,434"
".Hamilton County, Ohio","830,636"
".Hancock County, Ohio","74,912"
".Hardin County, Ohio","30,683"
".Harrison County, Ohio","14,485"
".Henry County, Ohio","27,665"
".Highland County, Ohio","43,316"
".Hocking County, Ohio","28,056"
".Holmes County, Ohio","44,220"
".Huron County, Ohio","58,568"
".Jackson County, Ohio","32,653"
".Jefferson County, Ohio","65,253"
".Knox County, Ohio","62,709"
".Lake County, Ohio","232,522"
".Lawrence County, Ohio","58,232"
".Licking County, Ohio","178,517"
".Logan County, Ohio","46,149"
".Lorain County, Ohio","312,981"
".Lucas County, Ohio","431,274"
".Madison County, Ohio","43,848"
".Mahoning County, Ohio","228,613"
".Marion County, Ohio","65,356"
".Medina County, Ohio","182,460"
".Meigs County, Ohio","22,205"
".Mercer County, Ohio","42,528"
".Miami County, Ohio","108,774"
".Monroe County, Ohio","13,388"
".Montgomery County, Ohio","537,301"
".Morgan County, Ohio","13,797"
".Morrow County, Ohio","34,944"
".Muskingum County, Ohio","86,413"
".Noble County, Ohio","14,120"
".Ottawa County, Ohio","40,361"
".Paulding County, Ohio","18,801"
".Perry County, Ohio","35,412"
".Pickaway County, Ohio","58,551"
".Pike County, Ohio","27,091"
".Portage County, Ohio","161,798"
".Preble County, Ohio","41,005"
".Putnam County, Ohio","34,453"
".Richland County, Ohio","124,944"
".Ross County, Ohio","77,093"
".Sandusky County, Ohio","58,903"
".Scioto County, Ohio","74,010"
".Seneca County, Ohio","55,076"
".Shelby County, Ohio","48,233"
".Stark County, Ohio","374,879"
".Summit County, Ohio","540,413"
".Trumbull County, Ohio","202,062"
".Tuscarawas County, Ohio","93,265"
".Union County, Ohio","62,790"
".Van Wert County, Ohio","28,932"
".Vinton County, Ohio","12,807"
".Warren County, Ohio","242,348"
".Washington County, Ohio","59,774"
".Wayne County, Ohio","116,875"
".Williams County, Ohio","37,108"
".Wood County, Ohio","132,255"
".Wyandot County, Ohio","21,895"
".Adair County, Oklahoma","19,498"
".Alfalfa County, Oklahoma","5,704"
".Atoka County, Oklahoma","14,144"
".Beaver County, Oklahoma","5,050"
".Beckham County, Oklahoma","22,410"
".Blaine County, Oklahoma","8,729"
".Bryan County, Oklahoma","46,070"
".Caddo County, Oklahoma","26,945"
".Canadian County, Oklahoma","154,155"
".Carter County, Oklahoma","48,003"
".Cherokee County, Oklahoma","47,074"
".Choctaw County, Oklahoma","14,206"
".Cimarron County, Oklahoma","2,293"
".Cleveland County, Oklahoma","295,533"
".Coal County, Oklahoma","5,267"
".Comanche County, Oklahoma","121,120"
".Cotton County, Oklahoma","5,525"
".Craig County, Oklahoma","14,107"
".Creek County, Oklahoma","71,763"
".Custer County, Oklahoma","28,518"
".Delaware County, Oklahoma","40,395"
".Dewey County, Oklahoma","4,479"
".Ellis County, Oklahoma","3,753"
".Garfield County, Oklahoma","62,845"
".Garvin County, Oklahoma","25,661"
".Grady County, Oklahoma","54,805"
".Grant County, Oklahoma","4,165"
".Greer County, Oklahoma","5,491"
".Harmon County, Oklahoma","2,489"
".Harper County, Oklahoma","3,266"
".Haskell County, Oklahoma","11,559"
".Hughes County, Oklahoma","13,364"
".Jackson County, Oklahoma","24,792"
".Jefferson County, Oklahoma","5,344"
".Johnston County, Oklahoma","10,276"
".Kay County, Oklahoma","43,700"
".Kingfisher County, Oklahoma","15,189"
".Kiowa County, Oklahoma","8,505"
".Latimer County, Oklahoma","9,448"
".Le Flore County, Oklahoma","48,132"
".Lincoln County, Oklahoma","33,463"
".Logan County, Oklahoma","49,554"
".Love County, Oklahoma","10,144"
".McClain County, Oklahoma","41,659"
".McCurtain County, Oklahoma","30,812"
".McIntosh County, Oklahoma","18,944"
".Major County, Oklahoma","7,783"
".Marshall County, Oklahoma","15,300"
".Mayes County, Oklahoma","39,043"
".Murray County, Oklahoma","13,904"
".Muskogee County, Oklahoma","66,343"
".Noble County, Oklahoma","10,924"
".Nowata County, Oklahoma","9,324"
".Okfuskee County, Oklahoma","11,313"
".Oklahoma County, Oklahoma","796,563"
".Okmulgee County, Oklahoma","36,704"
".Osage County, Oklahoma","45,829"
".Ottawa County, Oklahoma","30,286"
".Pawnee County, Oklahoma","15,558"
".Payne County, Oklahoma","81,646"
".Pittsburg County, Oklahoma","43,770"
".Pontotoc County, Oklahoma","38,068"
".Pottawatomie County, Oklahoma","72,450"
".Pushmataha County, Oklahoma","10,812"
".Roger Mills County, Oklahoma","3,439"
".Rogers County, Oklahoma","95,245"
".Seminole County, Oklahoma","23,555"
".Sequoyah County, Oklahoma","39,277"
".Stephens County, Oklahoma","42,847"
".Texas County, Oklahoma","21,383"
".Tillman County, Oklahoma","6,960"
".Tulsa County, Oklahoma","669,260"
".Wagoner County, Oklahoma","80,997"
".Washington County, Oklahoma","52,443"
".Washita County, Oklahoma","10,921"
".Woods County, Oklahoma","8,627"
".Woodward County, Oklahoma","20,483"
".Baker County, Oregon","16,669"
".Benton County, Oregon","95,186"
".Clackamas County, Oregon","421,428"
".Clatsop County, Oregon","41,067"
".Columbia County, Oregon","52,592"
".Coos County, Oregon","64,926"
".Crook County, Oregon","24,739"
".Curry County, Oregon","23,448"
".Deschutes County, Oregon","198,253"
".Douglas County, Oregon","111,200"
".Gilliam County, Oregon","1,994"
".Grant County, Oregon","7,225"
".Harney County, Oregon","7,501"
".Hood River County, Oregon","23,981"
".Jackson County, Oregon","223,263"
".Jefferson County, Oregon","24,503"
".Josephine County, Oregon","88,088"
".Klamath County, Oregon","69,412"
".Lake County, Oregon","8,164"
".Lane County, Oregon","382,974"
".Lincoln County, Oregon","50,402"
".Linn County, Oregon","128,609"
".Malheur County, Oregon","31,569"
".Marion County, Oregon","345,905"
".Morrow County, Oregon","12,184"
".Multnomah County, Oregon","815,398"
".Polk County, Oregon","87,430"
".Sherman County, Oregon","1,866"
".Tillamook County, Oregon","27,386"
".Umatilla County, Oregon","80,078"
".Union County, Oregon","26,195"
".Wallowa County, Oregon","7,386"
".Wasco County, Oregon","26,667"
".Washington County, Oregon","600,372"
".Wheeler County, Oregon","1,448"
".Yamhill County, Oregon","107,716"
".Adams County, Pennsylvania","103,840"
".Allegheny County, Pennsylvania","1,250,583"
".Armstrong County, Pennsylvania","65,548"
".Beaver County, Pennsylvania","168,220"
".Bedford County, Pennsylvania","47,576"
".Berks County, Pennsylvania","428,850"
".Blair County, Pennsylvania","122,821"
".Bradford County, Pennsylvania","59,956"
".Bucks County, Pennsylvania","646,515"
".Butler County, Pennsylvania","193,764"
".Cambria County, Pennsylvania","133,463"
".Cameron County, Pennsylvania","4,548"
".Carbon County, Pennsylvania","64,754"
".Centre County, Pennsylvania","158,164"
".Chester County, Pennsylvania","534,418"
".Clarion County, Pennsylvania","37,238"
".Clearfield County, Pennsylvania","80,558"
".Clinton County, Pennsylvania","37,448"
".Columbia County, Pennsylvania","64,722"
".Crawford County, Pennsylvania","83,954"
".Cumberland County, Pennsylvania","259,468"
".Dauphin County, Pennsylvania","286,392"
".Delaware County, Pennsylvania","576,970"
".Elk County, Pennsylvania","30,992"
".Erie County, Pennsylvania","271,049"
".Fayette County, Pennsylvania","128,823"
".Forest County, Pennsylvania","6,978"
".Franklin County, Pennsylvania","155,948"
".Fulton County, Pennsylvania","14,567"
".Greene County, Pennsylvania","35,949"
".Huntingdon County, Pennsylvania","44,105"
".Indiana County, Pennsylvania","83,232"
".Jefferson County, Pennsylvania","44,491"
".Juniata County, Pennsylvania","23,504"
".Lackawanna County, Pennsylvania","215,911"
".Lancaster County, Pennsylvania","552,981"
".Lawrence County, Pennsylvania","86,067"
".Lebanon County, Pennsylvania","143,262"
".Lehigh County, Pennsylvania","374,552"
".Luzerne County, Pennsylvania","325,602"
".Lycoming County, Pennsylvania","114,193"
".McKean County, Pennsylvania","40,435"
".Mercer County, Pennsylvania","110,656"
".Mifflin County, Pennsylvania","46,140"
".Monroe County, Pennsylvania","168,315"
".Montgomery County, Pennsylvania","856,413"
".Montour County, Pennsylvania","18,145"
".Northampton County, Pennsylvania","312,957"
".Northumberland County, Pennsylvania","91,642"
".Perry County, Pennsylvania","45,841"
".Philadelphia County, Pennsylvania","1,603,794"
".Pike County, Pennsylvania","58,545"
".Potter County, Pennsylvania","16,399"
".Schuylkill County, Pennsylvania","143,046"
".Snyder County, Pennsylvania","39,742"
".Somerset County, Pennsylvania","74,137"
".Sullivan County, Pennsylvania","5,841"
".Susquehanna County, Pennsylvania","38,437"
".Tioga County, Pennsylvania","41,044"
".Union County, Pennsylvania","42,685"
".Venango County, Pennsylvania","50,450"
".Warren County, Pennsylvania","38,596"
".Washington County, Pennsylvania","209,345"
".Wayne County, Pennsylvania","51,149"
".Westmoreland County, Pennsylvania","354,648"
".Wyoming County, Pennsylvania","26,082"
".York County, Pennsylvania","456,449"
".Bristol County, Rhode Island","50,786"
".Kent County, Rhode Island","170,366"
".Newport County, Rhode Island","85,641"
".Providence County, Rhode Island","660,725"
".Washington County, Rhode Island","129,836"
".Abbeville County, South Carolina","24,290"
".Aiken County, South Carolina","168,805"
".Allendale County, South Carolina","8,042"
".Anderson County, South Carolina","203,721"
".Bamberg County, South Carolina","13,312"
".Barnwell County, South Carolina","20,592"
".Beaufort County, South Carolina","187,098"
".Berkeley County, South Carolina","229,781"
".Calhoun County, South Carolina","14,121"
".Charleston County, South Carolina","408,530"
".Cherokee County, South Carolina","56,226"
".Chester County, South Carolina","32,300"
".Chesterfield County, South Carolina","43,267"
".Clarendon County, South Carolina","31,140"
".Colleton County, South Carolina","38,601"
".Darlington County, South Carolina","62,897"
".Dillon County, South Carolina","28,298"
".Dorchester County, South Carolina","161,331"
".Edgefield County, South Carolina","25,645"
".Fairfield County, South Carolina","20,940"
".Florence County, South Carolina","137,046"
".Georgetown County, South Carolina","63,406"
".Greenville County, South Carolina","525,543"
".Greenwood County, South Carolina","69,351"
".Hampton County, South Carolina","18,565"
".Horry County, South Carolina","351,038"
".Jasper County, South Carolina","28,805"
".Kershaw County, South Carolina","65,413"
".Lancaster County, South Carolina","96,012"
".Laurens County, South Carolina","67,527"
".Lee County, South Carolina","16,535"
".Lexington County, South Carolina","293,912"
".McCormick County, South Carolina","9,529"
".Marion County, South Carolina","29,179"
".Marlboro County, South Carolina","26,669"
".Newberry County, South Carolina","37,726"
".Oconee County, South Carolina","78,601"
".Orangeburg County, South Carolina","84,229"
".Pickens County, South Carolina","131,417"
".Richland County, South Carolina","416,146"
".Saluda County, South Carolina","18,934"
".Spartanburg County, South Carolina","327,997"
".Sumter County, South Carolina","105,557"
".Union County, South Carolina","27,240"
".Williamsburg County, South Carolina","31,026"
".York County, South Carolina","281,912"
".Aurora County, South Dakota","2,753"
".Beadle County, South Dakota","19,152"
".Bennett County, South Dakota","3,379"
".Bon Homme County, South Dakota","6,995"
".Brookings County, South Dakota","34,376"
".Brown County, South Dakota","38,296"
".Brule County, South Dakota","5,247"
".Buffalo County, South Dakota","1,945"
".Butte County, South Dakota","10,242"
".Campbell County, South Dakota","1,378"
".Charles Mix County, South Dakota","9,384"
".Clark County, South Dakota","3,839"
".Clay County, South Dakota","14,971"
".Codington County, South Dakota","28,323"
".Corson County, South Dakota","3,896"
".Custer County, South Dakota","8,325"
".Davison County, South Dakota","19,950"
".Day County, South Dakota","5,444"
".Deuel County, South Dakota","4,301"
".Dewey County, South Dakota","5,243"
".Douglas County, South Dakota","2,833"
".Edmunds County, South Dakota","3,996"
".Fall River County, South Dakota","6,971"
